accession,superkingdom,phylum,class,order,family,genus,species
GCA_002869665,d__Bacteria,p__Desulfuromonadota,c__Desulfuromonadia,o__Desulfuromonadales,f__Geopsychrobacteraceae,g__BM522,s__BM522 sp002869665
GCA_003022005,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__QS-5-70-15,s__QS-5-70-15 sp003022005
GCA_003132145,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003132145
GCA_003134695,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__UBA5184,s__UBA5184 sp003134695
GCA_003149955,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp003149955
GCA_003150145,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__QANG01,s__QANG01 sp003150145
GCA_003156695,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,s__13-2-20CM-66-19 sp003156695
GCA_003164675,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__Palsa-1439,s__Palsa-1439 sp003164675
GCA_003165335,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__BOG-932,g__BOG-932,s__BOG-932 sp003165335
GCA_003230015,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA6615,f__UBA6615,g__SZUA-147,s__SZUA-147 sp003230015
GCA_003241785,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__DSL-40,s__DSL-40 sp003241785
GCA_003265325,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__O448,s__O448 sp003265325
GCA_003445095,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA9464,g__UBA9464,s__UBA9464 sp003445095
GCA_003485185,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__SM23-33,g__UBA12270,s__UBA12270 sp003485185
GCA_003485955,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA953,g__UBA8828,s__UBA8828 sp003485955
GCA_003500125,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfocapsaceae,g__PB-SRB1,s__PB-SRB1 sp003500125
GCA_003500165,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__UBA10424,s__UBA10424 sp003500165
GCA_003511785,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__UBA7951,s__UBA7951 sp003511785
GCA_003526375,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__UBA1829,g__UBA11452,s__UBA11452 sp003526375
GCA_900066755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066755,s__GCA-900066755 sp900066755
GCA_900185725,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappia,s__Stappia sp900185725
GCA_900316275,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__UBA2897,s__UBA2897 sp900316275
GCA_900317855,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp900317855
GCA_900321335,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RUG678,s__RUG678 sp900321335
GCF_000013565,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__EhC01,s__EhC01 sp000013565
GCF_000018145,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Dinoroseobacter,s__Dinoroseobacter shibae
GCF_000021325,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Gluconacetobacter,s__Gluconacetobacter diazotrophicus
GCF_000152805,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Maritimibacter,s__Maritimibacter alkaliphilus
GCF_000153305,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Oceanicola,s__Oceanicola granulosus
GCF_000156515,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__Dorea hylemonae
GCF_000171775,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__Gemmata obscuriglobus
GCF_000228725,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiorhodovibrio,s__Thiorhodovibrio sp000228725
GCF_000240225,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Patulibacter,s__Patulibacter medicamentivorans
GCF_000244875,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Acetivibrionales,f__Acetivibrionaceae,g__Ruminiclostridium_A,s__Ruminiclostridium_A sp000244875
GCF_000244955,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharomonospora_A,s__Saccharomonospora_A marina
GCF_000374805,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chitinibacteraceae,g__Chitiniphilus,s__Chitiniphilus shinanonensis
GCF_000379465,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Pseudonocardiaceae,g__Sciscionella,s__Sciscionella marina
